MIN,AST,STL,PTS
173,12,3,93
947,72,63,217
617,78,22,218
721,65,20,188
137,12,7,50
90,11,5,26
112,5,4,24
847,95,20,442
834,40,47,395
103,10,5,36
843,50,22,244
833,136,48,399
133,7,4,51
146,5,3,41
22,1,2,8
237,8,1,58
128,9,5,31
59,3,0,19
50,2,0,7
952,78,29,584
598,58,15,217
655,52,23,235
657,98,23,238
112,2,7,44
32,5,3,26
682,39,13,461
734,59,18,397
759,42,28,228
889,127,43,494
911,47,28,435
676,104,17,250
218,9,5,54
365,15,9,100
996,132,29,456
286,13,8,87
52,7,1,17
217,5,6,70
673,175,22,255
755,60,15,375
848,46,16,370
569,19,17,254
81,4,4,49
680,106,33,209
650,32,29,253
796,76,16,514
591,32,20,376
939,43,32,317
377,5,5,128
508,52,21,252
617,70,34,259
282,5,4,88
767,117,38,336
579,35,18,159
386,24,11,102
61,0,1,13
926,50,37,442
42,1,0,9
410,14,9,127
832,46,26,364
499,49,12,245
481,28,8,200
762,118,45,391
371,17,13,142
278,13,5,70
50,6,2,12
78,2,1,22
715,46,18,268
932,103,41,517
463,39,30,116
833,40,29,467
208,5,7,77
475,32,13,185
369,11,9,161
142,6,1,65
889,65,39,318
433,17,13,171
882,59,32,411
224,13,6,32
504,24,20,207
610,91,13,225
455,16,8,134
576,21,8,141
845,91,20,349
737,30,15,199
28,0,1,6
900,206,29,329
623,108,26,233
314,47,13,48
520,90,11,177
238,6,11,119
16,1,1,3
52,4,1,6
539,25,8,154
218,27,10,73
904,99,53,490
717,67,22,364
294,19,7,91
514,92,33,191
529,21,11,207
448,69,17,106
315,16,11,116
243,8,2,96
203,6,5,48
948,63,53,577
459,78,12,79
626,87,38,230
402,48,12,140
238,20,4,96
378,16,8,106
254,15,9,78
719,40,31,278
614,96,24,216
408,16,19,148
354,24,22,139
703,41,40,156
12,0,0,2
348,33,21,87
756,108,17,298
280,23,13,81
260,10,11,96
865,87,23,346
242,17,10,66
795,30,36,245
348,35,21,158
1018,173,38,545
823,65,14,398
555,50,22,138
806,177,31,273
745,68,28,317
296,51,13,72
189,6,4,55
895,39,39,572
820,66,36,277
462,47,16,240
74,1,3,17
604,24,23,217
483,9,15,210
703,68,30,225
861,69,37,467
127,3,1,28
671,39,31,277
952,75,21,582
356,30,18,151